id_match,season,date,home,score,away
1,2003,2003-03-29,Athletico PR,2x0,Grêmio
2,2003,2003-03-29,Guarani,4x2,Vasco da Gama
3,2003,2003-03-30,Corinthians,0x3,Atlético MG
4,2003,2003-03-30,Goiás,2x2,Paysandu
5,2003,2003-03-30,Criciúma,2x0,Fluminense
6,2003,2003-03-30,Cruzeiro,2x2,São Caetano
7,2003,2003-03-30,Flamengo,1x1,Coritiba
8,2003,2003-03-30,Fortaleza,0x0,Bahia
9,2003,2003-03-30,Internacional,1x1,Ponte Preta
10,2003,2003-03-30,Juventude,2x2,São Paulo
11,2003,2003-03-30,Santos,2x2,Paraná
12,2003,2003-03-30,Vitória,1x1,Figueirense
13,2003,2003-04-05,Fluminense,1x1,Fortaleza
14,2003,2003-04-05,Atlético MG,0x0,Santos
15,2003,2003-04-05,Grêmio,3x1,Guarani
16,2003,2003-04-05,Coritiba,0x1,Internacional
17,2003,2003-04-06,Bahia,1x2,Flamengo
18,2003,2003-04-06,Vasco da Gama,6x4,Goiás
19,2003,2003-04-06,Figueirense,3x3,Corinthians
20,2003,2003-04-06,São Paulo,2x4,Cruzeiro
21,2003,2003-04-06,Paysandu,1x2,Vitória
22,2003,2003-04-06,Ponte Preta,1x0,Juventude
23,2003,2003-04-06,Paraná,3x0,Athletico PR
24,2003,2003-04-06,São Caetano,3x2,Criciúma
25,2003,2003-04-09,Paysandu,2x1,Santos
26,2003,2003-04-12,Internacional,2x0,Bahia
27,2003,2003-04-12,Athletico PR,1x2,Atlético MG
28,2003,2003-04-12,Corinthians,6x1,Paysandu
29,2003,2003-04-12,Santos,2x0,Figueirense
30,2003,2003-04-13,Cruzeiro,3x0,Ponte Preta
31,2003,2003-04-13,Vitória,2x1,Vasco da Gama
32,2003,2003-04-13,Flamengo,4x1,Fluminense
33,2003,2003-04-13,Criciúma,1x1,São Paulo
34,2003,2003-04-13,Fortaleza,1x1,São Caetano
35,2003,2003-04-13,Juventude,2x1,Coritiba
36,2003,2003-04-13,Guarani,2x0,Paraná
37,2003,2003-04-13,Goiás,1x1,Grêmio
38,2003,2003-04-16,São Caetano,1x1,Flamengo
39,2003,2003-04-16,Vasco da Gama,2x2,Corinthians
40,2003,2003-04-16,Bahia,3x1,Juventude
41,2003,2003-04-16,Grêmio,2x1,Vitória
42,2003,2003-04-16,Coritiba,3x4,Cruzeiro
43,2003,2003-04-16,Atlético MG,3x2,Guarani
44,2003,2003-04-16,Figueirense,1x1,Athletico PR
45,2003,2003-04-16,Ponte Preta,1x1,Criciúma
46,2003,2003-04-17,Fluminense,3x1,Internacional
47,2003,2003-04-17,Paraná,3x1,Goiás
48,2003,2003-04-17,São Paulo,3x1,Fortaleza
49,2003,2003-04-19,Flamengo,0x2,Santos
50,2003,2003-04-19,Bahia,2x4,Atlético MG
51,2003,2003-04-19,São Caetano,1x1,Grêmio
52,2003,2003-04-20,São Paulo,3x1,Vasco da Gama
53,2003,2003-04-20,Fluminense,0x0,Paraná
54,2003,2003-04-20,Cruzeiro,4x1,Goiás
55,2003,2003-04-20,Internacional,2x1,Corinthians
56,2003,2003-04-20,Ponte Preta,4x4,Paysandu
57,2003,2003-04-20,Fortaleza,1x0,Athletico PR
58,2003,2003-04-20,Juventude,1x1,Vitória
59,2003,2003-04-20,Criciúma,1x0,Guarani
60,2003,2003-04-21,Coritiba,1x0,Figueirense
61,2003,2003-04-26,Atlético MG,1x2,Coritiba
62,2003,2003-04-26,Paraná,3x1,Bahia
63,2003,2003-04-26,Guarani,1x1,Cruzeiro
64,2003,2003-04-26,Vitória,0x3,Internacional
65,2003,2003-04-27,Grêmio,0x1,Fluminense
66,2003,2003-04-27,Corinthians,1x1,Flamengo
67,2003,2003-04-27,Vasco da Gama,1x0,São Caetano
68,2003,2003-04-27,Goiás,7x0,Juventude
69,2003,2003-04-27,Paysandu,5x2,São Paulo
70,2003,2003-04-27,Santos,4x0,Fortaleza
71,2003,2003-04-27,Athletico PR,5x2,Criciúma
