id_match,season,data,horario,rodada,estadio,arbitro,publico,publico_max,home,away,tecnico_man,tecnico_vis,colocacao_man,colocacao_vis,valor_equipe_titular_man,valor_equipe_titular_vis,idade_media_titular_man,idade_media_titular_vis,gols_man,gols_vis,gols_1_tempo_man,gols_1_tempo_vis,escanteios_man,escanteios_vis,faltas_man,faltas_vis,chutes_bola_parada_man,chutes_bola_parada_vis,defesas_man,defesas_vis,impedimentos_man,impedimentos_vis,chutes_man,chutes_vis,chutes_fora_man,chutes_fora_vis
1,2003,2003-03-29,08:00,1,Arena da Baixada,NA,NA,NA,Athletico PR,Grêmio,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2003,2003-03-29,08:00,1,Estádio Brinco de Ouro da Princesa,NA,NA,NA,Guarani,Vasco da Gama,NA,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2003,2003-03-30,11:00,1,Neo Química Arena,NA,NA,NA,Corinthians,Atlético MG,NA,NA,NA,NA,NA,NA,NA,NA,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2003,2003-03-30,09:00,1,Estádio de Hailé Pinheiro,NA,NA,NA,Goiás,Paysandu,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2003,2003-03-30,09:00,1,Estádio Heriberto Hülse,NA,NA,NA,Criciúma,Fluminense,NA,NA,NA,NA,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2003,2003-03-30,09:00,1,Estádio Governador Magalhães Pinto,NA,NA,NA,Cruzeiro,São Caetano,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2003,2003-03-30,09:00,1,Estádio Jornalista Mário Filho,NA,NA,NA,Flamengo,Coritiba,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2003,2003-03-30,09:00,1,Estádio Governador Plácido Castelo,NA,NA,NA,Fortaleza,Bahia,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2003,2003-03-30,09:00,1,Estádio Beira-Rio,NA,NA,NA,Internacional,Ponte Preta,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2003,2003-03-30,09:00,1,Estádio Alfredo Jaconi,NA,NA,NA,Juventude,São Paulo,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,2003,2003-03-30,11:00,1,Estádio Urbano Caldeira,NA,NA,NA,Santos,Paraná,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,2003,2003-03-30,09:00,1,Estádio Manoel Barradas,NA,NA,NA,Vitória,Figueirense,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,2003,2003-04-05,09:00,2,Estádio Jornalista Mário Filho,NA,NA,NA,Fluminense,Fortaleza,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,2003,2003-04-05,09:00,2,Estádio Raimundo Sampaio,NA,NA,NA,Atlético MG,Santos,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,2003,2003-04-05,11:00,2,Arena do Grêmio,NA,NA,NA,Grêmio,Guarani,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,2003,2003-04-05,09:00,2,Estádio Major Antônio Couto Pereira,NA,NA,NA,Coritiba,Internacional,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,2003,2003-04-06,09:00,2,Arena Fonte Nova,NA,NA,NA,Bahia,Flamengo,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,2003,2003-04-06,11:00,2,Estádio São Januário,NA,NA,NA,Vasco da Gama,Goiás,NA,NA,NA,NA,NA,NA,NA,NA,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,2003,2003-04-06,09:00,2,Estádio Orlando Scarpelli,NA,NA,NA,Figueirense,Corinthians,NA,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,2003,2003-04-06,11:00,2,Estádio Cícero Pompeu de Toledo,NA,NA,NA,São Paulo,Cruzeiro,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,2003,2003-04-06,09:00,2,Estádio Estadual Jornalista Edgar Augusto Proença,NA,NA,NA,Paysandu,Vitória,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
